"unidade";"natureza da despesa";"valor"
"0687/2011 - INFLUÊNCIA DA APLICAÇÃO DE FERTILIZANTES ORGÂNICOS E DA INOCULAÇÃO DE FUNGOS MICORRÍZICOS NO DESENVOLVIMENTO DE GIRASSOL (HELIANTHUS ANNUUS L.)";"MAT. CONSUMO";"R$         4.186,90"
"0690/2011 - UNIAVC- UNIDADE DE REABILITAÇÃO NO ACIDENTE VASCULAR CEREBRAL (AVC)";"CUSTEIO";"R$         6.996,00"
"0690/2011 - UNIAVC- UNIDADE DE REABILITAÇÃO NO ACIDENTE VASCULAR CEREBRAL (AVC)";"EQUIP. MATERIAL PERMANENTE";"R$         6.835,51"
"0690/2011 - UNIAVC- UNIDADE DE REABILITAÇÃO NO ACIDENTE VASCULAR CEREBRAL (AVC)";"MAT. CONSUMO";"R$         1.439,37"
"0690/2011 - UNIAVC- UNIDADE DE REABILITAÇÃO NO ACIDENTE VASCULAR CEREBRAL (AVC)";"PASSAGENS";"R$             0,00"
"0690/2011 - UNIAVC- UNIDADE DE REABILITAÇÃO NO ACIDENTE VASCULAR CEREBRAL (AVC)";"SERV. PESSOA JURÍDICA";"R$           320,00"
"0984/2011 - AVALIAÇÃO DAS CONDIÇÕES DE SAÚDE E QUALIDADE DE VIDA DE IDOSOS RESIDENTES EM INSTITUIÇÕES DE LONGA PERMANÊNCIA: IMPLANTAÇÃO DE PROTOCOLO DE AVALIAÇÃO GERONTOLÓGICA MULTIDIMENSIONAL";"CUSTEIO";"R$         5.000,47"
"0984/2011 - AVALIAÇÃO DAS CONDIÇÕES DE SAÚDE E QUALIDADE DE VIDA DE IDOSOS RESIDENTES EM INSTITUIÇÕES DE LONGA PERMANÊNCIA: IMPLANTAÇÃO DE PROTOCOLO DE AVALIAÇÃO GERONTOLÓGICA MULTIDIMENSIONAL";"EQUIP. MATERIAL PERMANENTE";"R$         4.726,00"
"0984/2011 - AVALIAÇÃO DAS CONDIÇÕES DE SAÚDE E QUALIDADE DE VIDA DE IDOSOS RESIDENTES EM INSTITUIÇÕES DE LONGA PERMANÊNCIA: IMPLANTAÇÃO DE PROTOCOLO DE AVALIAÇÃO GERONTOLÓGICA MULTIDIMENSIONAL";"MAT. CONSUMO";"R$           231,47"
"11° SEMINÁRIO NORDESTE DE KENDO E IAIDO";"CUSTEIO";"R$         5.000,00"
"12 CONGRESSO INTERNACIONAL ERGODESIGN & USIHC 2012 NATAL";"CUSTEIO";"R$        69.284,35"
"12 CONGRESSO INTERNACIONAL ERGODESIGN & USIHC 2012 NATAL";"DIÁRIAS";"R$         1.767,00"
"12 CONGRESSO INTERNACIONAL ERGODESIGN & USIHC 2012 NATAL";"EQUIP. MATERIAL PERMANENTE";"R$        12.834,90"
"12 CONGRESSO INTERNACIONAL ERGODESIGN & USIHC 2012 NATAL";"MAT. CONSUMO";"R$         5.564,22"
"12 CONGRESSO INTERNACIONAL ERGODESIGN & USIHC 2012 NATAL";"PASSAGENS";"R$         1.460,30"
"12 CONGRESSO INTERNACIONAL ERGODESIGN & USIHC 2012 NATAL";"SERV. PESSOA JURÍDICA";"R$         4.376,76"
"1ª OFICINA DE CORDAS DA UFRN";"CUSTEIO";"R$         8.370,00"
"1ª OFICINA DE CORDAS DA UFRN";"PASSAGENS";"R$         1.926,58"
"1º ENCONTRO ENTRE OS CURSOS DAS CIÊNCIAS AGRÁRIAS, GESTORES E PRODUTORES DA AGRICULTURA FAMILIAR DO SERIDÓ: CONCEITOS, NECESSIDADES, DESAFIOS E PERSPECTIVAS";"CUSTEIO";"R$         1.356,54"
"1º ENCONTRO ENTRE OS CURSOS DAS CIÊNCIAS AGRÁRIAS, GESTORES E PRODUTORES DA AGRICULTURA FAMILIAR DO SERIDÓ: CONCEITOS, NECESSIDADES, DESAFIOS E PERSPECTIVAS";"SERV. PESSOA JURÍDICA";"R$         1.287,00"
"1° WORKSHOP DE EMPREENDEDORISMO E INOVAÇÃO DA INOVA METRÓPOLE";"CUSTEIO";"R$           810,00"
"1° WORKSHOP DE EMPREENDEDORISMO E INOVAÇÃO DA INOVA METRÓPOLE";"SERV. PESSOA FÍSICA";"R$           395,90"
"2013 - AÇÃO ESTRATÉGICA DE ATENÇÃO INTEGRADA AO CRESCIMENTO E DESENVOLVIMENTO INFANTIL.";"CUSTEIO";"R$         4.861,00"
"2013 - AÇÃO ESTRATÉGICA DE ATENÇÃO INTEGRADA AO CRESCIMENTO E DESENVOLVIMENTO INFANTIL.";"SERV. PESSOA JURÍDICA";"R$           635,00"
"2013 - ADOLESCENTES E DROGAS: O ESPORTE COMO FERRAMENTA DE PREVENÇÃO";"CUSTEIO";"R$         3.000,00"
"2013 - CAPACITAÇÃO E ASSESSORAMENTO NO PÓLO TILAPICULTURA: ENSINO E PESQUISA SE UNINDO EM PROL DA EXTENSÃO";"CUSTEIO";"R$         3.000,00"
"2013 - CAPACITAÇÃO E ASSESSORAMENTO NO PÓLO TILAPICULTURA: ENSINO E PESQUISA SE UNINDO EM PROL DA EXTENSÃO";"DIÁRIAS";"R$             0,00"
"2013 - COMER E COMER: O QUE É MELHOR PARA PODER CRESCER. CONHECENDO REPRESENTAÇÕES DE ALIMENTOS NA INFÂNCIA.";"CUSTEIO";"R$         1.731,00"
"2013 - COMER E COMER: O QUE É MELHOR PARA PODER CRESCER. CONHECENDO REPRESENTAÇÕES DE ALIMENTOS NA INFÂNCIA.";"SERV. PESSOA JURÍDICA";"R$           311,48"
"2013 - CRESCIMENTO E PRODUTIVIDADE EM UM SISTEMA AGROFLORESTAL NA VILA ASSIS CHATEAUBRIAND  TOUROS-RN";"CUSTEIO";"R$         3.000,00"
"2013 - CRESCIMENTO E PRODUTIVIDADE EM UM SISTEMA AGROFLORESTAL NA VILA ASSIS CHATEAUBRIAND  TOUROS-RN";"EQUIP. MATERIAL PERMANENTE";"R$         3.320,40"
"2013 - CRESCIMENTO E PRODUTIVIDADE EM UM SISTEMA AGROFLORESTAL NA VILA ASSIS CHATEAUBRIAND  TOUROS-RN";"MAT. CONSUMO";"R$           349,97"
"2013 - DESENVOLVIMENTO NO SEMIÁRIDO POTIGUAR: EXPLORAÇÃO SUSTENTÁVEL DE RECURSOS FLORESTAIS SUBSIDIADOS PELA PESQUISA, ENSINO E EXTENSÃO";"CUSTEIO";"R$         3.000,00"
"2013 - DESENVOLVIMENTO NO SEMIÁRIDO POTIGUAR: EXPLORAÇÃO SUSTENTÁVEL DE RECURSOS FLORESTAIS SUBSIDIADOS PELA PESQUISA, ENSINO E EXTENSÃO";"EQUIP. MATERIAL PERMANENTE";"R$         2.424,99"
"2013 - DESENVOLVIMENTO NO SEMIÁRIDO POTIGUAR: EXPLORAÇÃO SUSTENTÁVEL DE RECURSOS FLORESTAIS SUBSIDIADOS PELA PESQUISA, ENSINO E EXTENSÃO";"MAT. CONSUMO";"R$           574,92"
"2013 - DISSEMINANDO PRÁTICAS E CONTEÚDOS EM NEUROCIÊNCIAS";"CUSTEIO";"R$         3.000,00"
"2013 - DISSEMINANDO PRÁTICAS E CONTEÚDOS EM NEUROCIÊNCIAS";"MAT. CONSUMO";"R$         3.000,00"
"2013 - DIVULGAÇÃO DE CIÊNCIAS BÁSICAS NAS REDES SOCIAIS E OFICINAS DE OBJETOS CIENTÍFICOS";"CUSTEIO";"R$         3.000,00"
"2013 - DIVULGAÇÃO DE CIÊNCIAS BÁSICAS NAS REDES SOCIAIS E OFICINAS DE OBJETOS CIENTÍFICOS";"EQUIP. MATERIAL PERMANENTE";"R$         2.780,00"
"2013 - DIVULGAÇÃO DE CIÊNCIAS BÁSICAS NAS REDES SOCIAIS E OFICINAS DE OBJETOS CIENTÍFICOS";"SERV. PESSOA JURÍDICA";"R$           220,00"
"2013 - EDUCANDÁRIO DO ADOLESCER: TRABALHANDO A TEMÁTICA DA PREVENÇÃO DE DROGAS NAS ESCOLAS DE SANTA CRUZ/RN";"CUSTEIO";"R$         3.000,00"
"2013 - EDUCANDÁRIO DO ADOLESCER: TRABALHANDO A TEMÁTICA DA PREVENÇÃO DE DROGAS NAS ESCOLAS DE SANTA CRUZ/RN";"SERV. PESSOA JURÍDICA";"R$         3.000,00"
"2013 - GESTÃO DE RESÍDUOS ORGÂNICOS NA ESCOLA AGRÍCOLA DE JUNDIAÍ/UNIDADE ACADÊMICA ESPECIALIZADA EM CIÊNCIAS AGRÁRIAS/UFRN (EAJ/UECIA/UFRN).";"CUSTEIO";"R$         3.000,00"
"2013 - IMPACTOS SOCIO-ECONÔMICOS E AMBIENTAIS DE BARRAGENS SUBTERRÂNEAS NA MICROBACIA DO RIO COBRA, PARELHAS/RN";"CUSTEIO";"R$         3.000,00"
"2013 - IMPACTOS SOCIO-ECONÔMICOS E AMBIENTAIS DE BARRAGENS SUBTERRÂNEAS NA MICROBACIA DO RIO COBRA, PARELHAS/RN";"DIÁRIAS";"R$             0,00"
"2013 - IMPACTOS SOCIO-ECONÔMICOS E AMBIENTAIS DE BARRAGENS SUBTERRÂNEAS NA MICROBACIA DO RIO COBRA, PARELHAS/RN";"MAT. CONSUMO";"R$            59,73"
"2013 - JARDIM SENSORIAL: A NATUREZA AO ALCANCE DE TODOS.";"CUSTEIO";"R$         3.000,00"
"2013 - JARDIM SENSORIAL: A NATUREZA AO ALCANCE DE TODOS.";"MAT. CONSUMO";"R$           429,00"
"2013 - JARDIM SENSORIAL: A NATUREZA AO ALCANCE DE TODOS.";"SERV. PESSOA JURÍDICA";"R$         2.551,00"
"2013 - O ESPORTE COMO FERRAMENTA NACIONAL E INTERNACIONAL DE DIVULGAÇÃO, CIENTÍFICA E TURÍSTICA, DO INTERIOR DO ESTADO DO RIO GRANDE DO NORTE.";"CUSTEIO";"R$         2.000,00"
"2013 - PRODIAVC  PROGRAMA DE DIAGNÓSTICO E INTERVENÇÃO NO ACIDENTE VASCULAR CEREBRAL";"CUSTEIO";"R$         1.447,40"
"2013 - PRODIAVC  PROGRAMA DE DIAGNÓSTICO E INTERVENÇÃO NO ACIDENTE VASCULAR CEREBRAL";"MAT. CONSUMO";"R$           468,60"
"2013 - PRODIAVC  PROGRAMA DE DIAGNÓSTICO E INTERVENÇÃO NO ACIDENTE VASCULAR CEREBRAL";"SERV. PESSOA JURÍDICA";"R$            84,00"
"2013 - PROJETO ENVELHECER COM SAÚDE: RASTREAMENTO COGNITIVO EM IDOSOS RESIDENTES EM INSTITUIÇÕES DE LONGA PERMANÊNCIA, NATAL/RN.";"CUSTEIO";"R$         3.000,00"
"2013 - PROJETO ENVELHECER COM SAÚDE: RASTREAMENTO COGNITIVO EM IDOSOS RESIDENTES EM INSTITUIÇÕES DE LONGA PERMANÊNCIA, NATAL/RN.";"MAT. CONSUMO";"R$         2.010,58"
"2013 - PROJETO ENVELHECER COM SAÚDE: RASTREAMENTO COGNITIVO EM IDOSOS RESIDENTES EM INSTITUIÇÕES DE LONGA PERMANÊNCIA, NATAL/RN.";"SERV. PESSOA JURÍDICA";"R$           763,46"
"2013 - SAÚDE E CIDADANIA: INTERFACES ENTRE ENSINO, PESQUISA E EXTENSÃO";"CUSTEIO";"R$         2.000,00"
"2013 - SAÚDE E CIDADANIA: INTERFACES ENTRE ENSINO, PESQUISA E EXTENSÃO";"DIÁRIAS";"R$           395,90"
"2013 - SAÚDE E CIDADANIA: INTERFACES ENTRE ENSINO, PESQUISA E EXTENSÃO";"MAT. CONSUMO";"R$           390,67"
"2013 - SAÚDE E CIDADANIA: INTERFACES ENTRE ENSINO, PESQUISA E EXTENSÃO";"SERV. PESSOA JURÍDICA";"R$         1.138,10"
"23314/2013 - A PROPAGAÇÃO DA CULTURA DO VIOLONCELO NO RIO GRANDE DO NORTE - FASE II";"CUSTEIO";"R$         3.000,00"
"23314/2013 - A PROPAGAÇÃO DA CULTURA DO VIOLONCELO NO RIO GRANDE DO NORTE - FASE II";"PASSAGENS";"R$             0,00"
"23314/2013 - A PROPAGAÇÃO DA CULTURA DO VIOLONCELO NO RIO GRANDE DO NORTE - FASE II";"SERV. PESSOA JURÍDICA";"R$           489,00"
"2809/2013 - MAESTRO - UM METRÔNOMO REPENSADO";"CUSTEIO";"R$         3.000,00"
"2809/2013 - MAESTRO - UM METRÔNOMO REPENSADO";"EQUIP. MATERIAL PERMANENTE";"R$           232,90"
"2809/2013 - MAESTRO - UM METRÔNOMO REPENSADO";"PASSAGENS";"R$             0,00"
"2809/2013 - MAESTRO - UM METRÔNOMO REPENSADO";"SERV. PESSOA FÍSICA";"R$             0,00"
"2ª JORNADA NACIONAL DE ALFABETIZAÇÃO E 10ª JORNADA DE ALFABETIZAÇÃO: ALFABETIZANDO COM CIÊNCIA E ARTE";"CUSTEIO";"R$         7.000,00"
"2ª JORNADA NACIONAL DE ALFABETIZAÇÃO E 10ª JORNADA DE ALFABETIZAÇÃO: ALFABETIZANDO COM CIÊNCIA E ARTE";"PASSAGENS";"R$         3.265,57"
"2ª JORNADA NACIONAL DE ALFABETIZAÇÃO E 10ª JORNADA DE ALFABETIZAÇÃO: ALFABETIZANDO COM CIÊNCIA E ARTE";"SERV. PESSOA FÍSICA";"R$             0,00"
"2ª JORNADA NACIONAL DE ALFABETIZAÇÃO E 10ª JORNADA DE ALFABETIZAÇÃO: ALFABETIZANDO COM CIÊNCIA E ARTE";"SERV. PESSOA JURÍDICA";"R$           648,00"
"2° CURSO DE ESPECIALIZAÇÃO EM ANÁLISES CLÍNICAS E TOXICOLÓGICA";"CUSTEIO";"R$       176.359,54"
"2° CURSO DE ESPECIALIZAÇÃO EM ANÁLISES CLÍNICAS E TOXICOLÓGICA";"OBRIGAÇÕES PATRONAIS";"R$             0,00"
"2° CURSO DE ESPECIALIZAÇÃO EM ANÁLISES CLÍNICAS E TOXICOLÓGICA";"SERV. PESSOA FÍSICA";"R$        60.940,00"
"2° CURSO DE ESPECIALIZAÇÃO EM ANÁLISES CLÍNICAS E TOXICOLÓGICA";"SERV. PESSOA JURÍDICA";"R$         8.250,00"
"2º ENCONTRO ENTRE OS CURSOS DAS CIÊNCIAS AGRÁRIAS, GESTORES E PRODUTORES DA AGRICULTURA FAMILIAR: CONCEITOS, NECESSIDADES, DESAFIOS E PERSPECTIVAS. ";"CUSTEIO";"R$         3.433,33"
"2º ENCONTRO ENTRE OS CURSOS DAS CIÊNCIAS AGRÁRIAS, GESTORES E PRODUTORES DA AGRICULTURA FAMILIAR: CONCEITOS, NECESSIDADES, DESAFIOS E PERSPECTIVAS. ";"DIÁRIAS";"R$           237,10"
"2º ENCONTRO ENTRE OS CURSOS DAS CIÊNCIAS AGRÁRIAS, GESTORES E PRODUTORES DA AGRICULTURA FAMILIAR: CONCEITOS, NECESSIDADES, DESAFIOS E PERSPECTIVAS. ";"MAT. CONSUMO";"R$           539,42"
"2º ENCONTRO ENTRE OS CURSOS DAS CIÊNCIAS AGRÁRIAS, GESTORES E PRODUTORES DA AGRICULTURA FAMILIAR: CONCEITOS, NECESSIDADES, DESAFIOS E PERSPECTIVAS. ";"SERV. PESSOA FÍSICA";"R$         1.239,00"
"31293/2013 - LABORATÓRIO DE PALHETAS DA UFRN";"CUSTEIO";"R$         6.028,50"
"3° CURSO DE ESPECIALIZAÇÃO EM ANÁLISES CLÍNICAS E TOXICOLÓGICA";"CUSTEIO";"R$       265.336,59"
"3° CURSO DE ESPECIALIZAÇÃO EM ANÁLISES CLÍNICAS E TOXICOLÓGICA";"OBRIGAÇÕES PATRONAIS";"R$         3.348,00"
"3° CURSO DE ESPECIALIZAÇÃO EM ANÁLISES CLÍNICAS E TOXICOLÓGICA";"SERV. PESSOA FÍSICA";"R$       160.290,00"
"3º ENCONTRO ENTRE OS ALUNOS E DOCENTES DOS CURSOS DAS CIÊNCIAS AGRÁRIAS E PRODUTORES DA AGRICULTURA FAMILIAR: FORMAÇÃO ACADÊMICA, ESPECIFICIDADES E PERSPECTIVAS";"CUSTEIO";"R$         4.000,00"
"3º WORKSHOP DE JOGOS DIGITAIS DO RN. ";"CUSTEIO";"R$         3.000,00"
"3º WORKSHOP DE JOGOS DIGITAIS DO RN. ";"PASSAGENS";"R$             0,00"
"3º WORKSHOP DE JOGOS DIGITAIS DO RN. ";"SERV. PESSOA FÍSICA";"R$             0,00"
"3º WORKSHOP DE JOGOS DIGITAIS DO RN. ";"SERV. PESSOA JURÍDICA";"R$           441,50"
"4° PERCUTIR - ENCONTRO DE PERCUSSÃO DA UFRN (EV412-2014)";"CUSTEIO";"R$         4.500,00"
"4° PERCUTIR - ENCONTRO DE PERCUSSÃO DA UFRN (EV412-2014)";"SERV. PESSOA JURÍDICA";"R$         1.775,30"
"5º PERCUTIR - ENCONTRO DE PERCUSSÃO DA UFRN";"CUSTEIO";"R$         5.000,00"
"5º PERCUTIR - ENCONTRO DE PERCUSSÃO DA UFRN";"PASSAGENS";"R$         1.389,27"
"5º PERCUTIR - ENCONTRO DE PERCUSSÃO DA UFRN";"SERV. PESSOA JURÍDICA";"R$             0,00"
"60 ANOS DO DICIONÁRIO DO FOLCLORE BRASILEIRO (EV359-2014)";"CUSTEIO";"R$         5.000,00"
"6163/2013 - CURSO DE MUSICOGRAFIA BRAILLE PARA PESSOAS COM DEFICIÊNCIA VISUAL";"CUSTEIO";"R$         3.000,00"
"6163/2013 - CURSO DE MUSICOGRAFIA BRAILLE PARA PESSOAS COM DEFICIÊNCIA VISUAL";"SERV. PESSOA JURÍDICA";"R$         2.957,26"
"6172/2013 - AVALIAÇÃO DA QUALIDADE DO LEITE EM PROPRIEDADES RURAIS PROVENIENTES DA AGRICULTURA FAMILIAR";"CUSTEIO";"R$         3.000,00"
"6172/2013 - AVALIAÇÃO DA QUALIDADE DO LEITE EM PROPRIEDADES RURAIS PROVENIENTES DA AGRICULTURA FAMILIAR";"MAT. CONSUMO";"R$         3.310,41"
"7º SEPE  SEMINÁRIO DE ENSINO, PESQUISA E EXTENSÃO DO CENTRO DE ENSINO SUPERIOR DO SERIDÓ  CERES/UFRN. ""AS FRONTEIRAS DO CONHECIMENTO E A FORMAÇÃO DO SUJEITO CONTEMPORÂNEO""";"CUSTEIO";"R$         8.552,86"
"7º SEPE  SEMINÁRIO DE ENSINO, PESQUISA E EXTENSÃO DO CENTRO DE ENSINO SUPERIOR DO SERIDÓ  CERES/UFRN. ""AS FRONTEIRAS DO CONHECIMENTO E A FORMAÇÃO DO SUJEITO CONTEMPORÂNEO""";"SERV. PESSOA JURÍDICA";"R$            79,60"
"8372 - UFERSA - SISTEMAS INFORMATIZADOS";"SERV. PESSOA FÍSICA";"R$         7.200,00"
"8372 - UFERSA - SISTEMAS INFORMATIZADOS";"SERV. PESSOA JURÍDICA";"R$     2.376.002,02"
"8374 - SETEC PORT. 313/08 - ESENF";"DIV.EXERCÍCIOS ANTERIORES";"R$       144.000,00"
"8374 - SETEC PORT. 313/08 - ESENF";"EQUIP. MATERIAL PERMANENTE";"R$        40.000,00"
"8374 - SETEC PORT. 313/08 - ESENF";"OBRAS E INSTALAÇÕES";"R$       176.000,00"
"8374 - SETEC PORT. 313/08 - ESENF";"SERV. PESSOA JURÍDICA";"R$        72.000,00"
"8377 - FNDE PROG. NACIONAL DO LIVRO DIDÁTICO/08";"SERV. PESSOA JURÍDICA";"R$     4.660.425,00"
"8378 - SESU INCLUIR";"DIV.EXERCÍCIOS ANTERIORES";"R$         4.351,20"
"8378 - SESU INCLUIR";"EQUIP. MATERIAL PERMANENTE";"R$         5.549,40"
"8378 - SESU INCLUIR";"MAT. CONSUMO";"R$        94.359,50"
"8378 - SESU INCLUIR";"OBRIGAÇÕES PATRONAIS";"R$         1.872,00"
"8378 - SESU INCLUIR";"SERV. PESSOA FÍSICA";"R$         9.360,00"
"8378 - SESU INCLUIR";"SERV. PESSOA JURÍDICA";"R$         4.500,00"
"8381 - SESU PORT. 788/08 - EDITAL Nº 08/2008.";"OBRAS E INSTALAÇÕES";"R$        97.887,00"
"8381 - SESU PORT. 788/08 - EDITAL Nº 08/2008.";"SERV. PESSOA JURÍDICA";"R$     2.302.953,70"
"8384 - FNS PORT. 604/08 - DST/AIDS";"SERV. PESSOA JURÍDICA";"R$        51.225,72"
"8400 - SETEC PORT. 556/08 - EAJ";"EQUIP. MATERIAL PERMANENTE";"R$     1.305.260,00"
"8402 - SESU TRILHAS POTIGUARES/08";"DIV.EXERCÍCIOS ANTERIORES";"R$        26.647,70"
"8402 - SESU TRILHAS POTIGUARES/08";"EQUIP. MATERIAL PERMANENTE";"R$        35.401,80"
"8402 - SESU TRILHAS POTIGUARES/08";"MAT. CONSUMO";"R$        84.724,70"
"8402 - SESU TRILHAS POTIGUARES/08";"OBRIGAÇÕES PATRONAIS";"R$           310,00"
"8402 - SESU TRILHAS POTIGUARES/08";"SERV. PESSOA FÍSICA";"R$         3.550,00"
"8402 - SESU TRILHAS POTIGUARES/08";"SERV. PESSOA JURÍDICA";"R$        27.360,10"
"A BIBLIOTECA MÓVEL COMO MOMENTO SOCIAL DE HUMANIZAÇÃO NO DEPARTAMENTO DE ODONTOLOGIA DA UFRN  SEGUNDA FASE";"CUSTEIO";"R$         1.493,84"
"ABIN TC Nº 01/10 - SINFOR";"CUSTEIO";"R$       550.000,00"
"ABIN TC Nº 01/10 - SINFOR";"EQUIP. MATERIAL PERMANENTE";"R$       991.180,01"
"ABIN TC Nº 01/10 - SINFOR";"SERV. PESSOA JURÍDICA";"R$     3.750.000,00"
"AÇÃO CONJUNTA ENTRE PRODUTORES E UNIVERSIDADE: ESTRATÉGIAS PARA PRODUÇÃO DE OVINOS NO NORDESTE BRASILEIRO";"CUSTEIO";"R$         3.000,00"
"ACERTOS DE DÉBITOS EM GERAL";"AUX. FINANCEIRO ESTUDANTE";"R$         4.320,00"
"ACERTOS DE DÉBITOS EM GERAL";"EQUIP. MATERIAL PERMANENTE";"R$       155.260,76"
"ACERTOS DE DÉBITOS EM GERAL";"LOC. MÃO-DE-OBRA";"R$        20.192,52"
"ACERTOS DE DÉBITOS EM GERAL";"MAT. CONSUMO";"R$       479.461,04"
"ACERTOS DE DÉBITOS EM GERAL";"OBRAS E INSTALAÇÕES";"R$     6.145.310,52"
"ACERTOS DE DÉBITOS EM GERAL";"OBRIGAÇÕES CONTRIBUTIVAS";"R$       279.086,00"
"ACERTOS DE DÉBITOS EM GERAL";"PASSAGENS";"R$         1.000,00"
"ACERTOS DE DÉBITOS EM GERAL";"SERV. PESSOA JURÍDICA";"R$       478.832,71"
"ACERVO BIBLIOGRÁFICO";"CAPITAL";"R$     7.607.000,00"
"ACERVO BIBLIOGRÁFICO";"CUSTEIO";"R$     4.920.180,81"
"ACERVO BIBLIOGRÁFICO";"DIV.EXERCÍCIOS ANTERIORES";"R$           507,45"
"ACERVO BIBLIOGRÁFICO";"EQUIP. MATERIAL PERMANENTE";"R$    29.202.681,22"
"ACERVO BIBLIOGRÁFICO";"MAT. CONSUMO";"R$     4.840.932,63"
"ACERVO BIBLIOGRÁFICO";"OBRAS E INSTALAÇÕES";"R$         4.755,40"
"ACERVO BIBLIOGRÁFICO";"PAGAMENTO DE CAPITAL";"R$        20.524,77"
"ACERVO BIBLIOGRÁFICO";"PERMANENTE /EXERCICIO ANTERIOR";"R$        28.130,38"
"ACERVO BIBLIOGRÁFICO";"SERV. PESSOA JURÍDICA";"R$       785.019,65"
"ACESSANDO MEMÓRIAS: PRESERVAÇÃO DO ACERVO FOTOGRÁFICO DO MCC";"CUSTEIO";"R$         1.500,00"
"ACESSANDO MEMÓRIAS: PRESERVAÇÃO DO ACERVO FOTOGRÁFICO DO MCC";"MAT. CONSUMO";"R$         1.201,33"
"ACESSIBILIDADE E MEIO-AMBIENTE";"CUSTEIO";"R$       614.872,00"
"ACESSO À INFORMAÇÃO EM ARQUIVOS: INTERVENÇÃO ARQUIVÍSTICA NO ACERVO DOCUMENTAL DO MUSEU CÂMARA CASCUDO";"CUSTEIO";"R$         1.218,00"
"AÇÕES DE CONTROLE, REGULAÇÃO E AVALIAÇÃO DOS SERVIÇOS DE SAÚDE - CONTRATO / UFRN / FUNPEC Nº 4331.21.1414";"CUSTEIO";"R$       654.736,38"
"AÇÕES DE CONTROLE, REGULAÇÃO E AVALIAÇÃO DOS SERVIÇOS DE SAÚDE - CONTRATO / UFRN / FUNPEC Nº 4331.21.1414";"SERV. PESSOA JURÍDICA";"R$       582.356,55"
"AÇÕES DE ENFERMAGEM À MULHER GESTANTE E NUTRIZ NO BANCO DE LEITE HUMANO E SALA DE AMAMENTAÇÃO DA MATERNIDADE ESCOLA JANUÁRIO CICCO";"CUSTEIO";"R$         2.000,00"
"AÇÕES DE EXTENSÃO DO NÚCLEO DE EDUCAÇÃO EM CIÊNCIAS";"CUSTEIO";"R$        28.652,44"
"AÇÕES DE MELHORIA CONTÍNUA PARA IMPLANTAR/IMPLEMENTAR QUALIDADE NA CADEIA DO LEITE CAPRINO NA REGIÃO DE MACAÍBA-RN";"CUSTEIO";"R$         2.421,64"
"AÇÕES DE MELHORIA CONTÍNUA PARA IMPLANTAR/IMPLEMENTAR QUALIDADE NA CADEIA DO LEITE CAPRINO NA REGIÃO DE MACAÍBA-RN";"MAT. CONSUMO";"R$         2.392,56"
"AÇÕES E PROGRAMAS DE COMBATE A DEFICIÊNCIA DE VITAMINA A: PROPOSTA DE INTEGRAÇÃO ENTRE ENSINO-SERVIÇO";"CUSTEIO";"R$         4.001,11"
"AÇÕES E PROGRAMAS DE COMBATE A DEFICIÊNCIA DE VITAMINA A: PROPOSTA DE INTEGRAÇÃO ENTRE ENSINO-SERVIÇO";"EQUIP. MATERIAL PERMANENTE";"R$         3.137,99"
"AÇÕES E PROGRAMAS DE COMBATE A DEFICIÊNCIA DE VITAMINA A: PROPOSTA DE INTEGRAÇÃO ENTRE ENSINO-SERVIÇO";"MAT. CONSUMO";"R$           845,94"
